marker_category,cell_type,pearson_r,pearson_p,spearman_r,spearman_p
Oligodendrocytes,Cluster_16_Neurons,-0.037619888595577716,0.084051496177796,-0.07843767813721109,0.0003104309927819089
Oligodendrocytes,Cluster_19_Neurons,-0.10699413652856918,8.393822324203332e-07,-0.15484853153288744,8.559172943280238e-13
Oligodendrocytes,Cluster_20_Neurons,-0.10662980194585761,9.149040351886334e-07,-0.15755682432926862,3.374354141258443e-13
Oligodendrocytes,Cluster_22_Neurons,-0.1105572949873463,3.561348244464143e-07,-0.1936379119085178,2.846309456170363e-19
Oligodendrocytes,Cluster_30_Neurons,-0.02696919670625341,0.21559963094238394,-0.03344365375270043,0.12460101628630378
Oligodendrocytes,Cluster_32_Immune,-0.02696919670625341,0.21559963094238394,-0.03344365375270043,0.12460101628630378
Oligodendrocytes,Cluster_35_Immune,0.3502604906777561,6.045161461767362e-62,0.2542101216258801,1.7860896640267742e-32
Oligodendrocytes,Cluster_41_Astrocytes,,,,
Oligodendrocytes,Cluster_44_Astrocytes,,,,
Oligodendrocytes,Cluster_46_Vascular,,,,
Oligodendrocytes,Cluster_47_Ependymal,,,,
Oligodendrocytes,Cluster_48_Neurons,,,,
Oligodendrocytes,Cluster_49_Neurons,,,,
Oligodendrocytes,Cluster_52_Neurons,,,,
Oligodendrocytes,Cluster_54_Neurons,0.4401697012600415,1.0349841943513298e-100,0.39516489985564374,8.370939144569112e-80
Oligodendrocytes,Cluster_58_Neurons,0.35155291382923387,2.0245171320104726e-62,0.3237949188497038,1.070622665438964e-52
Oligodendrocytes,Cluster_61_Neurons,,,,
Oligodendrocytes,Cluster_62_Neurons,,,,
Oligodendrocytes,Cluster_69_Vascular,0.17696507965700645,2.6398301241169905e-16,0.22547425983718294,9.98864674835672e-26
Oligodendrocytes,Cluster_70_Vascular,0.19915708712793206,2.5715138227227482e-20,0.21995181420729082,1.5661646343675718e-24
Oligodendrocytes,Cluster_73_Blood,0.2077738097772408,5.221523332038576e-22,0.24365320528388432,6.838131921670616e-30
Astrocytes,Cluster_1_Oligos,0.3531437652689314,5.22962437267847e-63,0.25062032090478553,1.3931272757451917e-31
Astrocytes,Cluster_10_Neurons,0.3695884545898837,2.7590351005232227e-69,0.27354939345129575,1.5786094784946396e-37
Astrocytes,Cluster_14_Oligos,,,,
Astrocytes,Cluster_14_Vascular,,,,
Astrocytes,Cluster_14_Immune,,,,
Astrocytes,Cluster_16_Neurons,-0.01241142622556874,0.5688135604235403,-0.02861271009285346,0.18891101622505602
Astrocytes,Cluster_19_Neurons,-0.04602824359478902,0.03450136071757097,-0.03546202804988074,0.10342191370882266
Astrocytes,Cluster_20_Neurons,-0.04417937664152059,0.04244238366154411,-0.043501686791059396,0.04571663730748699
Astrocytes,Cluster_22_Neurons,-0.03168077749839329,0.14573822012003002,-0.07079798877147216,0.0011369465112307491
Astrocytes,Cluster_30_Neurons,-0.04085872224596978,0.06058582481801465,-0.037268849864590614,0.08698610129673376
Astrocytes,Cluster_32_Immune,-0.04085872224596978,0.06058582481801465,-0.037268849864590614,0.08698610129673376
Astrocytes,Cluster_35_Immune,0.3638127735154064,4.8728030704996636e-67,0.3358497052197773,8.500943565957049e-57
Astrocytes,Cluster_41_Astrocytes,,,,
Astrocytes,Cluster_44_Astrocytes,,,,
Astrocytes,Cluster_46_Vascular,,,,
Astrocytes,Cluster_47_Ependymal,,,,
Astrocytes,Cluster_48_Neurons,,,,
Astrocytes,Cluster_49_Neurons,,,,
Astrocytes,Cluster_52_Neurons,,,,
Astrocytes,Cluster_54_Neurons,0.15048709586757844,3.702630402947624e-12,0.20176191032445911,8.065326764525656e-21
Astrocytes,Cluster_58_Neurons,0.1099045450838897,4.175408229059375e-07,0.17166254098268727,2.028258294943647e-15
Astrocytes,Cluster_61_Neurons,,,,
Astrocytes,Cluster_62_Neurons,,,,
Astrocytes,Cluster_69_Vascular,0.35170134614025267,1.7849085677451859e-62,0.3023928492263904,7.266828580288897e-46
Astrocytes,Cluster_70_Vascular,0.3577459626894049,9.970567938402548e-65,0.29377820972680013,2.8443180310980983e-43
Astrocytes,Cluster_73_Blood,0.36916620300384806,4.0420354706224436e-69,0.3131283307777789,3.1989148695013853e-49
Immune,Cluster_1_Oligos,0.21429828093489026,2.428448493789689e-23,0.10542659383782238,1.2136027999559989e-06
Immune,Cluster_10_Neurons,0.222041897672886,5.574741980057722e-25,0.11692821172488092,7.189513660220243e-08
Immune,Cluster_14_Oligos,,,,
Immune,Cluster_14_Vascular,,,,
Immune,Cluster_14_Immune,,,,
