spot_id,tau,lambda,n_celltypes,rmse
671,0.3,10,18,3.223614086843316
672,0.3,10,23,9.150041076243125
673,0.3,10,16,1.3602473821362269
674,0.3,10,19,2.243978838391068
675,0.3,10,22,9.014554992654661
676,0.3,10,19,2.4139822871064123
677,0.3,10,18,4.695300593737729
678,0.3,10,19,3.031729166880882
679,0.3,10,24,5.757468226489015
680,0.3,10,19,2.863588440141999
681,0.3,10,17,2.4268366824283625
682,0.3,10,23,6.962294943303809
683,0.3,10,22,8.256556159763115
684,0.3,10,22,8.799756858843603
685,0.3,10,17,2.1344723475597256
686,0.3,10,17,2.503849449992972
687,0.3,10,23,7.632948801692341
688,0.3,10,20,3.239536724195708
689,0.3,10,23,5.617268856375301
690,0.3,10,21,3.8742209386820523
691,0.3,10,20,4.547181630963017
692,0.3,10,23,7.767901093528723
693,0.3,10,19,4.531242557411451
694,0.3,10,18,4.723837083812399
695,0.3,10,20,4.082146477387067
696,0.3,10,18,2.8148490048179036
697,0.3,10,22,9.323965437823249
698,0.3,10,22,8.626286950096157
699,0.3,10,17,2.8521677756062638
700,0.3,10,23,8.670131124257788
701,0.3,10,19,3.4403417357021184
702,0.3,10,23,4.640433154510441
703,0.3,10,18,2.3305297760765753
704,0.3,10,22,4.124721656247594
705,0.3,10,20,3.3007032986340232
706,0.3,10,24,5.253658130397785
707,0.3,10,17,1.9353854092752836
708,0.3,10,19,3.5649216334028035
709,0.3,10,24,9.32385292456572
710,0.3,10,18,3.0881958565381282
711,0.3,10,23,3.7800744356946687
712,0.3,10,22,9.730947303699313
713,0.3,10,21,7.926870380009003
714,0.3,10,18,3.4122058845807897
715,0.3,10,18,2.7911685866861875
716,0.3,10,21,5.9951469727092865
717,0.3,10,21,2.5569901468965526
718,0.3,10,20,3.9304048914754057
719,0.3,10,16,0.9031857118589065
720,0.3,10,23,9.030829424966809
721,0.3,10,22,5.907903340147114
722,0.3,10,24,10.73949679117625
723,0.3,10,19,2.57698531954195
724,0.3,10,22,10.096950166326863
725,0.3,10,20,4.08141318587866
726,0.3,10,21,8.146351399777338
727,0.3,10,23,8.397318912152352
728,0.3,10,20,4.268289363019095
729,0.3,10,24,4.247577823382011
730,0.3,10,22,8.226201961230784
731,0.3,10,20,4.524003701847392
732,0.3,10,21,4.274145376199699
733,0.3,10,19,3.19504470711132
734,0.3,10,22,8.197144596370995
735,0.3,10,18,3.069337928985944
736,0.3,10,20,4.4585095482309285
737,0.3,10,19,3.7740270464300174
738,0.3,10,22,7.608761727311334
739,0.3,10,18,3.2664188168324486
740,0.3,10,21,5.633639318732852
741,0.3,10,19,3.0722253297681705
742,0.3,10,20,6.082121532994133
743,0.3,10,18,2.552489461730863
744,0.3,10,23,11.954941724769839
745,0.3,10,18,3.0365552872163404
746,0.3,10,19,3.2285418569518467
747,0.3,10,21,7.368737147037508
748,0.3,10,22,8.938451461592356
749,0.3,10,19,4.322001544413149
750,0.3,10,18,3.5543768327621663
751,0.3,10,19,3.693735655381229
752,0.3,10,21,4.216023560450641
753,0.3,10,22,6.341487135123252
754,0.3,10,18,2.5195087351820864
755,0.3,10,18,3.1886869526735553
756,0.3,10,18,2.031854322695386
757,0.3,10,19,3.4117709952805573
758,0.3,10,18,2.4839677697647313
759,0.3,10,18,5.1509111429676135
760,0.3,10,17,2.2767895380585004
